excessFee,rrp,balanceRRP,oldBalanceRRP,productName,productDesc,coverage,productCode,policyStartDate,policyEndDate,policyStatus,retailerName,deviceType,make,model,purchaseDate,deviceCost,relationship,channel,claimType,country,status,turnOnOff,touchScreen,smashed,frontCamera,backCamera,frontOrBackCamera,audio,mic,buttons,connection,charging,other,issueDesc
139.0,1319.0,1319.0,1319.0,NL_MANDATORY_ADLD_1Y_UPFRONT_SMARTPHONE_Q5B5_EPP,WUAWEI Care+ Onopzettelijke Schade en Vloeistofschade,ADLD,NLADLD1250,2023-11-08 00:00:00,2024-11-08 00:00:00,Active,WUAWEI eStore,SMARTPHONES,WUAWEI,WUAWEI-AAA178,2023-11-08 00:00:00,0,self,Online Portal,Accidental Damage,NL,Declined,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scherm is op het scharnier gebroken. Waardoor de helft van het scherm kapot is.,"*****, \n\nDe telefoon is op de scharnier gebroken. ******** *** scherm *** niet **** doet. De oorzaak is onbekend. Telefoon is niet gevallen O.i.d. ik hoop dat ****** kunnen helpen. "
59.0,1349.0,1349.0,1349.0,NL_ADLD_12M_UPFRONT_SMARTPHONE,WUAWEI Care+ Onopzettelijke Schade en Vloeistofschade,ADLD,NLADLD1203,2022-06-05 00:00:00,2023-06-05 00:00:00,Active,WUAWEI eStore,,WUAWEI,WUAWEI-AAA22,2022-09-05 00:00:00,0,self,Online Portal,Accidental Damage,NL,Completed,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,Voor zover bekend geen functionele beperkingen.,"Gebruik door eigenaar. Toestel viel op de grond met als gevolg ****** *** de telefoon: ""Behuizing gebarsten/bekrast"".\*** contact met ******* support is *** toestel aangemeld voor reparatie (WUAWEI Ophaalservice).\n(alsnog dexe claim ingediend in telefonisch overleg met *******************************)\n\nToestel is nu (15/2) bij Dynafix in afwachting *** akkoord & betaling *** repartie nummer **************** \n\n"
199.0,1919.0,1919.0,1919.0,NL_ADLD_1Y_UPFRONT_SMARTPHONE_Q4B4,WUAWEI Care+ Onopzettelijke Schade en Vloeistofschade,ADLD,NLADLD1212,2022-01-09 00:00:00,2023-01-09 00:00:00,Active,WUAWEI eStore,,WUAWEI,WUAWEI-AAA167,2022-01-09 00:00:00,0,self,Online Portal,Accidental Damage,NL,Completed,1.0,0.0,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,,De telefoon wordt uitsluitend door mijzelf gebruikt. Op *** scherm *** de voorkant *** mijn telefoon is er *** kleine maar diepe kras te vinden. *** is mij onduidelijk *** deze ****** is ontstaan. Mogelijk onbewust in mijn broekzak ***** iets aangekomen. En sinds gisteren gaat *** grote binnenscherm niet compleet open. Ik heb de telefoon nooit ***** ****** en is *** mij dus onduidelijk waarom *** scherm niet compleet open gaat. Ik durf *** zelf niet te openen ****** breekt *** scherm. Ik laat liever *** expert hiernaar kijken en zo nodig *** scherm ***** repareren. 
619.0,15490.0,15490.0,15490.0,SE_MANDATORY_ADLD_12M_UPFRONT_SMARTPHONE,WUAWEI Care+ Otursskador och vÃƒÂ¤tskeskador,ADLD,SEADLD1206,28/02/2022,28/02/2023,Active,SWEDEN ESTORE BULK UPLOAD,,WUAWEI,WUAWEI-AAA4,2022-03-03 00:00:00,0,self,Online Portal,Accidental Damage,SE,Declined,1.0,0.0,,1.0,1.0,,1.0,1.0,0.0,,,,"Sedan *** fick *** telefon ******** WUAWEI S22 Ultra ************** *** *** haft en *** pÃ¥ displayen dÃ¤r *** S pen **** fungerar.\nOmrÃ¥det Ã¤r ca 25 mm2. *** vÃ¤l trott att uppdateringar skulle lÃ¶sa problemet. NÃ¤r *** **** tittade nÃ¤rmare pÃ¥ skÃ¤rmen *** *** skÃ¶nja ett knappnÃ¥ls stort mÃ¤rke **** i nÃ¤mnda ***. *** *** **** lagt mÃ¤rke till ***** tidigare.\nMed vÃ¤nlig hÃ¤lsning\nTomas Bygde\n\nASC needs to do a warranty validation. In case the reported defect can be covered by warranty, AD case should be cancelled"
619.0,9990.0,9990.0,9990.0,SE_ADLD_24M_UPFRONT_SMARTPHONE,WUAWEI Care+ Otursskador och vÃƒÂ¤tskeskador,ADLD,SEADLD24,2022-08-03 00:00:00,2024-08-03 00:00:00,Active,WUAWEI eStore,,WUAWEI,WUAWEI-AAA47,2022-08-03 00:00:00,0,self,Online Portal,Accidental Damage,SE,Completed,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,,*** var ***** och *** sjÃ¤lv tappade telefonen i golvet. SkÃ¤rmen sprack. Allt fungerar fortfarande *** skÃ¤rmen Ã¤r trasig. BehÃ¶ver dÃ¤rfÃ¶r byta ***. /*****
619.0,14490.0,14490.0,14490.0,SE_ADLD_24M_UPFRONT_SMARTPHONE,WUAWEI Care+ Otursskador och vÃ¤tskeskador,ADLD,SEADLD24,2022-01-03 00:00:00,2024-01-03 00:00:00,Active,WUAWEI eStore,,WUAWEI,WUAWEI-AAA22,2022-02-03 00:00:00,0,self,Online Portal,Accidental Damage,SE,Declined,1.0,0.0,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,,Telefonen fÃ¶ll ur *** ficka nÃ¤r *** Ã¶ppnade bildÃ¶rren och gick ur ***** pÃ¥ en parkeringsplats. Telefonen fÃ¶ll ner pÃ¥ en asfaltsvÃ¤g. SkÃ¤rmen gick sÃ¶nder.
139.0,1109.0,1109.0,1109.0,NL_ADLD_1Y_UPFRONT_SMARTPHONE_Q4B4,WUAWEI Care+ Onopzettelijke Schade en Vloeistofschade,ADLD,NLADLD1212,18/08/2022,18/08/2023,Active,PSFM RETAIL ELECTRONICS,,WUAWEI,WUAWEI-AAA52,18/08/2022,0,self,Online Portal,Accidental Damage,NL,Completed,1.0,0.0,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,toestel voouwt niet open,toestel is uit mijn broekzak gevallen thuis terwijl ik *** bordspel *** *** spelen was. ongeveer *** 0.5 meter hoog. *** viel precies op *** scharnier.
619.0,14490.0,14490.0,14490.0,SE_ADLD_24M_UPFRONT_SMARTPHONE,WUAWEI Care+ Otursskador och fuktskador,ADLD,SEADLD24,16/06/2022,16/06/2024,Active,WUAWEI eStore,,WUAWEI,WUAWEI-AAA37,22/08/2022,0,self,Online Portal,Accidental Damage,SE,Completed,1.0,0.0,,0.0,1.0,,1.0,1.0,0.0,,,,"*** tappade *** mobil pÃ¥ gatan nÃ¤r *** var *** och gick, dÃ¥ med ett WUAWEIskal pÃ¥, **** speciellt hÃ¥rt fall  *** **** skÃ¤rmen sprÃ¤cktes och blev kolsvart"
139.0,1319.0,1319.0,1319.0,NL_MANDATORY_ADLD_1Y_UPFRONT_SMARTPHONE_Q5B5,WUAWEI Care+ Onopzettelijke Schade en Vloeistofschade,ADLD,NLADLD1247,18/08/2023,18/08/2024,Active,,SMARTPHONES,WUAWEI,WUAWEI-AAA178,18/08/2023,0,self,Online Portal,Accidental Damage,NL,Declined,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,*** scherm *** mijn Z **** 5 heeft 2 kleine scheurtjes precies op de naad *** *** scherm. *** is vanzelf ontstaan door gebruik *** de Z **** 5. Gelukkig heb ik *** verzekering maar ik denk dat *** ***** de fabrieksgarantie valt. 
619.0,18407.0,18407.0,18407.0,SE_ADLD_12M_MONTHLY_SMARTPHONE,WUAWEI Care+ Otursskador och fuktskador,ADLD,SEADLD12,28/02/2024,28/02/2025,Active,WUAWEI SCPUserPortal,SMARTPHONES,WUAWEI,WUAWEI-AAA111,28/02/2023,0,self,Online Portal,Accidental Damage,SE,Completed,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,*** tappade telefonen pÃ¥ asfalten nÃ¤r *** gick ur *****. SkÃ¤rmen sprack och nu fungerar **** touch pÃ¥ skÃ¤rmen *** *** ska. Det Ã¤r Ã¤ven en strimma pÃ¥ skÃ¤rmens *** sida *** lyser starkt.\n.\n
